name,category,brand,price,description
Dell Inspiron 15,Laptop,Dell,55000,15-inch laptop suitable for everyday computing and programming
HP Pavilion 15,Laptop,HP,52000,15-inch HP laptop with great performance and battery life
Lenovo IdeaPad Slim 5,Laptop,Lenovo,57000,Slim 15-inch laptop with excellent keyboard and display
Logitech MX Master 3S,Mouse,Logitech,9000,Advanced wireless ergonomic mouse for professionals
Logitech M331,Mouse,Logitech,2500,Silent wireless mouse for everyday use
Keychron K2,Keyboard,Keychron,7500,Compact mechanical keyboard with Bluetooth and hot-swap support
Logitech K380,Keyboard,Logitech,3500,Compact multi-device Bluetooth keyboard
Dell USB-C Hub,USB Hub,Dell,4500,7-in-1 USB-C hub with HDMI and USB ports
Anker USB-C Hub,USB Hub,Anker,3500,Compact 6-in-1 USB-C hub with power delivery
Dell Laptop Stand,Laptop Stand,Dell,3000,Adjustable aluminum laptop stand for ergonomic setup
Portronics Laptop Stand,Laptop Stand,Portronics,1500,Portable foldable laptop stand for desk or travel
Dell Laptop Bag,Laptop Bag,Dell,2500,Durable 15-inch laptop bag with multiple compartments
HP Laptop Backpack,Laptop Bag,HP,2000,Water-resistant 15.6-inch laptop backpack
LG 24 inch Monitor,Monitor,LG,15000,24-inch IPS FHD monitor with USB-C and HDMI
Dell 24 inch Monitor,Monitor,Dell,16000,24-inch IPS monitor with anti-glare screen and HDMI
Sony WH-1000XM5,Headphones,Sony,29000,Industry-leading noise cancelling wireless headphones
JBL Tune 770NC,Headphones,JBL,8000,Adaptive noise cancelling wireless headphones
Samsung T7 SSD 1TB,Storage,Samsung,8500,Portable SSD with USB-C and fast transfer speeds
WD My Passport 1TB,Storage,WD,4500,Compact USB-C portable hard drive
Logitech C920 Webcam,Webcam,Logitech,7000,Full HD 1080p webcam for video conferencing
