source,relationship,target
Dell Inspiron 15,BELONGS_TO,Laptop
HP Pavilion 15,BELONGS_TO,Laptop
Lenovo IdeaPad Slim 5,BELONGS_TO,Laptop
Logitech MX Master 3S,BELONGS_TO,Mouse
Logitech M331,BELONGS_TO,Mouse
Keychron K2,BELONGS_TO,Keyboard
Logitech K380,BELONGS_TO,Keyboard
Dell USB-C Hub,BELONGS_TO,USB Hub
Anker USB-C Hub,BELONGS_TO,USB Hub
Dell Laptop Stand,BELONGS_TO,Laptop Stand
Portronics Laptop Stand,BELONGS_TO,Laptop Stand
Dell Laptop Bag,BELONGS_TO,Laptop Bag
HP Laptop Backpack,BELONGS_TO,Laptop Bag
LG 24 inch Monitor,BELONGS_TO,Monitor
Dell 24 inch Monitor,BELONGS_TO,Monitor
Sony WH-1000XM5,BELONGS_TO,Headphones
JBL Tune 770NC,BELONGS_TO,Headphones
Samsung T7 SSD 1TB,BELONGS_TO,Storage
WD My Passport 1TB,BELONGS_TO,Storage
Logitech C920 Webcam,BELONGS_TO,Webcam
Dell Inspiron 15,MADE_BY,Dell
HP Pavilion 15,MADE_BY,HP
Lenovo IdeaPad Slim 5,MADE_BY,Lenovo
Logitech MX Master 3S,MADE_BY,Logitech
Logitech M331,MADE_BY,Logitech
Keychron K2,MADE_BY,Keychron
Logitech K380,MADE_BY,Logitech
Dell USB-C Hub,MADE_BY,Dell
Anker USB-C Hub,MADE_BY,Anker
Dell Laptop Stand,MADE_BY,Dell
Portronics Laptop Stand,MADE_BY,Portronics
Dell Laptop Bag,MADE_BY,Dell
HP Laptop Backpack,MADE_BY,HP
LG 24 inch Monitor,MADE_BY,LG
Dell 24 inch Monitor,MADE_BY,Dell
Sony WH-1000XM5,MADE_BY,Sony
JBL Tune 770NC,MADE_BY,JBL
Samsung T7 SSD 1TB,MADE_BY,Samsung
WD My Passport 1TB,MADE_BY,WD
Logitech C920 Webcam,MADE_BY,Logitech
Dell Inspiron 15,HAS_FEATURE,USB-C
Dell Inspiron 15,HAS_FEATURE,Bluetooth
Dell Inspiron 15,HAS_FEATURE,WiFi
HP Pavilion 15,HAS_FEATURE,USB-C
HP Pavilion 15,HAS_FEATURE,Bluetooth
HP Pavilion 15,HAS_FEATURE,WiFi
Lenovo IdeaPad Slim 5,HAS_FEATURE,USB-C
Lenovo IdeaPad Slim 5,HAS_FEATURE,Bluetooth
Lenovo IdeaPad Slim 5,HAS_FEATURE,WiFi
Logitech MX Master 3S,HAS_FEATURE,Bluetooth
Logitech MX Master 3S,HAS_FEATURE,Wireless
Logitech MX Master 3S,HAS_FEATURE,Ergonomic
Logitech M331,HAS_FEATURE,Wireless
Logitech M331,HAS_FEATURE,Portable
Keychron K2,HAS_FEATURE,Bluetooth
Keychron K2,HAS_FEATURE,Wireless
Keychron K2,HAS_FEATURE,Mechanical Keys
Logitech K380,HAS_FEATURE,Bluetooth
Logitech K380,HAS_FEATURE,Wireless
Logitech K380,HAS_FEATURE,Portable
Dell USB-C Hub,HAS_FEATURE,USB-C
Dell USB-C Hub,HAS_FEATURE,HDMI
Anker USB-C Hub,HAS_FEATURE,USB-C
Anker USB-C Hub,HAS_FEATURE,HDMI
Anker USB-C Hub,HAS_FEATURE,Portable
Dell Laptop Stand,HAS_FEATURE,Ergonomic
Portronics Laptop Stand,HAS_FEATURE,Portable
Portronics Laptop Stand,HAS_FEATURE,Ergonomic
LG 24 inch Monitor,HAS_FEATURE,USB-C
LG 24 inch Monitor,HAS_FEATURE,HDMI
Dell 24 inch Monitor,HAS_FEATURE,HDMI
Sony WH-1000XM5,HAS_FEATURE,Bluetooth
Sony WH-1000XM5,HAS_FEATURE,Wireless
Sony WH-1000XM5,HAS_FEATURE,Noise Cancellation
JBL Tune 770NC,HAS_FEATURE,Bluetooth
JBL Tune 770NC,HAS_FEATURE,Wireless
JBL Tune 770NC,HAS_FEATURE,Noise Cancellation
JBL Tune 770NC,HAS_FEATURE,Portable
Samsung T7 SSD 1TB,HAS_FEATURE,USB-C
Samsung T7 SSD 1TB,HAS_FEATURE,Portable
Samsung T7 SSD 1TB,HAS_FEATURE,1TB Storage
WD My Passport 1TB,HAS_FEATURE,USB-C
WD My Passport 1TB,HAS_FEATURE,Portable
WD My Passport 1TB,HAS_FEATURE,1TB Storage
Logitech C920 Webcam,HAS_FEATURE,Portable
Dell Inspiron 15,USED_FOR,Programming
Dell Inspiron 15,USED_FOR,Office Work
Dell Inspiron 15,USED_FOR,Work From Home
HP Pavilion 15,USED_FOR,Programming
HP Pavilion 15,USED_FOR,Office Work
HP Pavilion 15,USED_FOR,Entertainment
Lenovo IdeaPad Slim 5,USED_FOR,Programming
Lenovo IdeaPad Slim 5,USED_FOR,Office Work
Lenovo IdeaPad Slim 5,USED_FOR,Work From Home
Logitech MX Master 3S,USED_FOR,Programming
Logitech MX Master 3S,USED_FOR,Office Work
Logitech MX Master 3S,USED_FOR,Content Creation
Logitech M331,USED_FOR,Office Work
Logitech M331,USED_FOR,Work From Home
Keychron K2,USED_FOR,Programming
Keychron K2,USED_FOR,Gaming
Keychron K2,USED_FOR,Office Work
Logitech K380,USED_FOR,Office Work
Logitech K380,USED_FOR,Work From Home
Logitech K380,USED_FOR,Travel
Dell USB-C Hub,USED_FOR,Office Work
Dell USB-C Hub,USED_FOR,Work From Home
Anker USB-C Hub,USED_FOR,Office Work
Anker USB-C Hub,USED_FOR,Work From Home
Anker USB-C Hub,USED_FOR,Travel
Dell Laptop Stand,USED_FOR,Office Work
Dell Laptop Stand,USED_FOR,Work From Home
Portronics Laptop Stand,USED_FOR,Office Work
Portronics Laptop Stand,USED_FOR,Travel
LG 24 inch Monitor,USED_FOR,Programming
LG 24 inch Monitor,USED_FOR,Office Work
LG 24 inch Monitor,USED_FOR,Gaming
Dell 24 inch Monitor,USED_FOR,Programming
Dell 24 inch Monitor,USED_FOR,Office Work
Dell 24 inch Monitor,USED_FOR,Work From Home
Sony WH-1000XM5,USED_FOR,Entertainment
Sony WH-1000XM5,USED_FOR,Travel
Sony WH-1000XM5,USED_FOR,Office Work
JBL Tune 770NC,USED_FOR,Entertainment
JBL Tune 770NC,USED_FOR,Travel
JBL Tune 770NC,USED_FOR,Office Work
Samsung T7 SSD 1TB,USED_FOR,Programming
Samsung T7 SSD 1TB,USED_FOR,Content Creation
WD My Passport 1TB,USED_FOR,Office Work
WD My Passport 1TB,USED_FOR,Travel
Logitech C920 Webcam,USED_FOR,Video Conferencing
Logitech C920 Webcam,USED_FOR,Content Creation
Logitech C920 Webcam,USED_FOR,Work From Home
Dell Inspiron 15,COMPATIBLE_WITH,Logitech MX Master 3S
Dell Inspiron 15,COMPATIBLE_WITH,Logitech M331
Dell Inspiron 15,COMPATIBLE_WITH,Keychron K2
Dell Inspiron 15,COMPATIBLE_WITH,Logitech K380
Dell Inspiron 15,COMPATIBLE_WITH,Dell USB-C Hub
Dell Inspiron 15,COMPATIBLE_WITH,Anker USB-C Hub
Dell Inspiron 15,COMPATIBLE_WITH,Samsung T7 SSD 1TB
Dell Inspiron 15,COMPATIBLE_WITH,WD My Passport 1TB
HP Pavilion 15,COMPATIBLE_WITH,Logitech MX Master 3S
HP Pavilion 15,COMPATIBLE_WITH,Logitech M331
HP Pavilion 15,COMPATIBLE_WITH,Keychron K2
HP Pavilion 15,COMPATIBLE_WITH,Logitech K380
HP Pavilion 15,COMPATIBLE_WITH,Anker USB-C Hub
HP Pavilion 15,COMPATIBLE_WITH,Samsung T7 SSD 1TB
HP Pavilion 15,COMPATIBLE_WITH,WD My Passport 1TB
Lenovo IdeaPad Slim 5,COMPATIBLE_WITH,Logitech MX Master 3S
Lenovo IdeaPad Slim 5,COMPATIBLE_WITH,Keychron K2
Lenovo IdeaPad Slim 5,COMPATIBLE_WITH,Logitech K380
Lenovo IdeaPad Slim 5,COMPATIBLE_WITH,Anker USB-C Hub
Lenovo IdeaPad Slim 5,COMPATIBLE_WITH,Samsung T7 SSD 1TB
Lenovo IdeaPad Slim 5,COMPATIBLE_WITH,WD My Passport 1TB
Dell Inspiron 15,ACCESSORY,Dell Laptop Stand
Dell Inspiron 15,ACCESSORY,Portronics Laptop Stand
Dell Inspiron 15,ACCESSORY,Dell Laptop Bag
Dell Inspiron 15,ACCESSORY,HP Laptop Backpack
HP Pavilion 15,ACCESSORY,Portronics Laptop Stand
HP Pavilion 15,ACCESSORY,HP Laptop Backpack
Lenovo IdeaPad Slim 5,ACCESSORY,Portronics Laptop Stand
Lenovo IdeaPad Slim 5,ACCESSORY,Dell Laptop Bag
Dell Inspiron 15,WORKS_WITH,Dell 24 inch Monitor
Dell Inspiron 15,WORKS_WITH,LG 24 inch Monitor
Dell Inspiron 15,WORKS_WITH,Logitech C920 Webcam
HP Pavilion 15,WORKS_WITH,LG 24 inch Monitor
HP Pavilion 15,WORKS_WITH,Logitech C920 Webcam
Lenovo IdeaPad Slim 5,WORKS_WITH,LG 24 inch Monitor
Lenovo IdeaPad Slim 5,WORKS_WITH,Dell 24 inch Monitor
Lenovo IdeaPad Slim 5,WORKS_WITH,Logitech C920 Webcam
Dell Inspiron 15,SIMILAR_TO,HP Pavilion 15
Dell Inspiron 15,SIMILAR_TO,Lenovo IdeaPad Slim 5
HP Pavilion 15,SIMILAR_TO,Dell Inspiron 15
HP Pavilion 15,SIMILAR_TO,Lenovo IdeaPad Slim 5
Lenovo IdeaPad Slim 5,SIMILAR_TO,Dell Inspiron 15
Lenovo IdeaPad Slim 5,SIMILAR_TO,HP Pavilion 15
Logitech MX Master 3S,SIMILAR_TO,Logitech M331
